# Table of SIMULATED aj coefficient in function of nu(n,l)
# Created using fit_a2sig.py :: do_simfile() Version 9 Nov 2021
# Dnu =135.1
# epsilon =0.3
# N0 =10
# Nmax =20
# a1 =408.823478
# epsilon_nl =[0.0005 0.    ]
# theta0 =1.2217304763960306
# delta =0.17453292519943295
# ftype =gate
# relerr_a2 =[0, 0]
# do_a4 =True
# relerr_a4 =[0, 0]
# do_a6 =True
# relerr_a6 =[0, 0]
# relerr_epsilon_nl =None
# Col(0):l, Col(1):nu, Col(2)-Col(6):a2 (for P(a2)=[2.25,16,50,84,97.75]), Col(7): a2_true,  Col(8-12): a4, Col(13): a4_true, Col(13-17): a6, Col(18): a6_true, Col(19): epsilon_nl Col(20): epsilon_nl_true
2  	 2067.0300000000   38.9147396108   38.9147396108   38.9147396108   38.9147396108   38.9147396108   38.9147396108   -0.1053830952    -0.1053830952    -0.1053830952    -0.1053830952    -0.1053830952    -0.1053830952     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
2  	 2202.1300000000   41.4581866441   41.4581866441   41.4581866441   41.4581866441   41.4581866441   41.4581866441   -0.1122708792    -0.1122708792    -0.1122708792    -0.1122708792    -0.1122708792    -0.1122708792     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
2  	 2337.2300000000   44.0016336775   44.0016336775   44.0016336775   44.0016336775   44.0016336775   44.0016336775   -0.1191586632    -0.1191586632    -0.1191586632    -0.1191586632    -0.1191586632    -0.1191586632     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
2  	 2472.3300000000   46.5450807109   46.5450807109   46.5450807109   46.5450807109   46.5450807109   46.5450807109   -0.1260464472    -0.1260464472    -0.1260464472    -0.1260464472    -0.1260464472    -0.1260464472     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
2  	 2607.4300000000   49.0885277442   49.0885277442   49.0885277442   49.0885277442   49.0885277442   49.0885277442   -0.1329342312    -0.1329342312    -0.1329342312    -0.1329342312    -0.1329342312    -0.1329342312     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
2  	 2742.5300000000   51.6319747777   51.6319747777   51.6319747777   51.6319747777   51.6319747777   51.6319747777   -0.1398220152    -0.1398220152    -0.1398220152    -0.1398220152    -0.1398220152    -0.1398220152     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
2  	 2877.6300000000   54.1754218110   54.1754218110   54.1754218110   54.1754218110   54.1754218110   54.1754218110   -0.1467097992    -0.1467097992    -0.1467097992    -0.1467097992    -0.1467097992    -0.1467097992     -2.0000000000    -1.0000000000    0.0000000000    1.0000000000    2.0000000000    0.00000000   0.00050000    0.00050000
3  	 1594.1800000000   23.3430790571   23.3430790571   23.3430790571   23.3430790571   23.3430790571   23.3430790571   -0.1035099003    -0.1035099003    -0.1035099003    -0.1035099003    -0.1035099003    -0.1035099003     -1.3002706031    -1.3002706031    -1.3002706031    -1.3002706031    -1.3002706031    -1.30027060   0.00050000    0.00050000
3  	 1729.2800000000   25.3213060959   25.3213060959   25.3213060959   25.3213060959   25.3213060959   25.3213060959   -0.1122819258    -0.1122819258    -0.1122819258    -0.1122819258    -0.1122819258    -0.1122819258     -1.4104630271    -1.4104630271    -1.4104630271    -1.4104630271    -1.4104630271    -1.41046303   0.00050000    0.00050000
3  	 1864.3800000000   27.2995331346   27.2995331346   27.2995331346   27.2995331346   27.2995331346   27.2995331346   -0.1210539513    -0.1210539513    -0.1210539513    -0.1210539513    -0.1210539513    -0.1210539513     -1.5206554511    -1.5206554511    -1.5206554511    -1.5206554511    -1.5206554511    -1.52065545   0.00050000    0.00050000
3  	 1999.4800000000   29.2777601733   29.2777601733   29.2777601733   29.2777601733   29.2777601733   29.2777601733   -0.1298259767    -0.1298259767    -0.1298259767    -0.1298259767    -0.1298259767    -0.1298259767     -1.6308478751    -1.6308478751    -1.6308478751    -1.6308478751    -1.6308478751    -1.63084788   0.00050000    0.00050000
3  	 2134.5800000000   31.2559872120   31.2559872120   31.2559872120   31.2559872120   31.2559872120   31.2559872120   -0.1385980022    -0.1385980022    -0.1385980022    -0.1385980022    -0.1385980022    -0.1385980022     -1.7410402990    -1.7410402990    -1.7410402990    -1.7410402990    -1.7410402990    -1.74104030   0.00050000    0.00050000
3  	 2269.6800000000   33.2342142509   33.2342142509   33.2342142509   33.2342142509   33.2342142509   33.2342142509   -0.1473700276    -0.1473700276    -0.1473700276    -0.1473700276    -0.1473700276    -0.1473700276     -1.8512327230    -1.8512327230    -1.8512327230    -1.8512327230    -1.8512327230    -1.85123272   0.00050000    0.00050000
3  	 2404.7800000000   35.2124412896   35.2124412896   35.2124412896   35.2124412896   35.2124412896   35.2124412896   -0.1561420531    -0.1561420531    -0.1561420531    -0.1561420531    -0.1561420531    -0.1561420531     -1.9614251470    -1.9614251470    -1.9614251470    -1.9614251470    -1.9614251470    -1.96142515   0.00050000    0.00050000
3  	 2539.8800000000   37.1906683283   37.1906683283   37.1906683283   37.1906683283   37.1906683283   37.1906683283   -0.1649140785    -0.1649140785    -0.1649140785    -0.1649140785    -0.1649140785    -0.1649140785     -2.0716175710    -2.0716175710    -2.0716175710    -2.0716175710    -2.0716175710    -2.07161757   0.00050000    0.00050000
3  	 2674.9800000000   39.1688953671   39.1688953671   39.1688953671   39.1688953671   39.1688953671   39.1688953671   -0.1736861040    -0.1736861040    -0.1736861040    -0.1736861040    -0.1736861040    -0.1736861040     -2.1818099950    -2.1818099950    -2.1818099950    -2.1818099950    -2.1818099950    -2.18181000   0.00050000    0.00050000
3  	 2810.0800000000   41.1471224058   41.1471224058   41.1471224058   41.1471224058   41.1471224058   41.1471224058   -0.1824581295    -0.1824581295    -0.1824581295    -0.1824581295    -0.1824581295    -0.1824581295     -2.2920024190    -2.2920024190    -2.2920024190    -2.2920024190    -2.2920024190    -2.29200242   0.00050000    0.00050000
3  	 2945.1800000000   43.1253494445   43.1253494445   43.1253494445   43.1253494445   43.1253494445   43.1253494445   -0.1912301549    -0.1912301549    -0.1912301549    -0.1912301549    -0.1912301549    -0.1912301549     -2.4021948430    -2.4021948430    -2.4021948430    -2.4021948430    -2.4021948430    -2.40219484   0.00050000    0.00050000
